title,author,genre
The Hobbit,J.R.R. Tolkien,Fantasy
The Fellowship of the Ring,J.R.R. Tolkien,Fantasy
The Two Towers,J.R.R. Tolkien,Fantasy
The Return of the King,J.R.R. Tolkien,Fantasy
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy
A Game of Thrones,George R.R. Martin,Fantasy
A Clash of Kings,George R.R. Martin,Fantasy
A Storm of Swords,George R.R. Martin,Fantasy

